Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
1,1,1,0,262,90.5,104,202,61.2,120,434,138.5,97,506,137,119
1,2,2,0,176,25.8,104,155,26.5,128,355,125.3,136,493,148.7,150
1,5,1,0,216.356,78.783,101,190.326,54.267,101,427.307,154.289,104,561.841,210.325,101
2,1,5,0,238,40.5,101,178,31.6,100,390,110,103,544,190,103
2,2,5,0,243,79.9,108,223,71.8,110,393,105,102,429,149,111
1,4,2,0,185,39.5,112,194.7,55.9,111,335,78,115,493,249,101
2,2,2,0,210.91,41.85,100,182.4,49.7,100,354.79,108.81,100,504.1,166.57,100
2,2,1,0,231.2553191,41.22820151,100,202.5638298,39.54866609,100,338.0614035,94.37451383,100,470.7288136,145.1226052,100
2,1,1,0,192.85,20.44,100,165.3,26.01,101,354.05,84.95,100,494.85,116.27,107
1,3,4,0,223.52,91.59,100,164.71,53.4,100,471.94,147.17,100,641.31,252.52,100
1,3,3,0,218.04,55.949,100,183.49,49.325,100,314.38,83.663,100,400.23,90.606,150
1,3,5,0,218.27,47.94,100,168.98,41.62,100,363.23,75.82,169,411.16,77.51,100
2,1,3,0,204.99,36.47,100,168.07,49.04,108,288.86,61.48,113,351.64,63.57,109
2,1,1,0,213.1830986,61.10907124,71,209.6338028,72.62739937,71,356.9339623,103.9521179,106,528.9433962,172.6996974,106
1,2,3,0,164,18.9,105,155,37.2,105,307,76,108,427,145,109
1,4,3,0,224.49,73.61229449,100,203.38,61.80740732,100,375.0188679,96.13747832,100,0,158.352778,375.0188679
2,3,3,0,218.3,35.04,100,187.09,75.45,100,400.04,112.26,100,541.54,134.93,100
2,2,3,0,258.48,121.19,110,213.92,89.649,118,777.034,202.376,143,752.58,253.142,110
1,4,1,0,193.38,86.59,104,178.08,142.13,113,330.72,93.67,114,394.95,114.75,135
1,2,3,0,215,67.825,112,207.315,47.692,104,430.17,168.257,100,625.24,130.183,123
1,1,3,0,255.3389831,126.2319778,118,225.4132231,80.42260994,121,391.0855263,113.4017047,152,428.7674419,218.111255,129
2,1,1,0,227.4,40.2,100,180.3,33.1,100,246.4,30.1,100,255.1,43.8,100
1,4,5,0,216.39,77.093,100,203.92,54.643,100,405,153,100,596,192,100
1,1,1,0,198.71,35.9,76,173.26,33.11,80,469.2132353,127.849832,136,504.1056338,137.7729152,142
2,2,3,0,225,58.8,101,203,38.3,54,392,112.4,101,407,86.2,101
1,4,2,0,228.7,74,104,197.8,84.5,101,398,145,109,513,239,103
1,2,3,0,205.2,60.88,121,173.59,62.41,113,382.43,141.91,106,586.33,184.93,189
1,4,1,0,192.48,55.28,70,178.92,50.2,70,373.41,128.95,122,523.24,240.41,117
2,2,4,0,174.1,23.9,110,158.2,26.5,110,252,50.9,110,338.2,79.1,110
1,2,5,0,209.6,63.6,116,172,45.1,109,154.9,174.9,113,201.8,227,104
1,5,1,0,222,99,93,176,81,67,360,182,94,413,99,151
2,4,1,0,210.51,36.17361,100,205.15152,52.69607,100,458.71545,143.41681,100,512.43519,142.21009,100
1,2,4,0,211,59.6,100,187,43.7,100,309,64.3,112,396,90.6,144
2,1,4,0,291,60,120,220,60,120,468,164,105,584,179,108
2,3,3,0,220.8623853,43.8434387,109,194.2110092,41.27910669,109,369.5153846,110.358523,130,435.047619,111.8076904,105
2,4,3,0,257,48.5,101,229,67.1,132,427,96.3,125,523,131,159
2,1,1,0,187,193,164,176,64,169,212,112,176,219,114,121
1,2,1,0,181.19,54.52,115,171.46,59.13,81,382.61,115.84,106,438.53,203.32,145
1,2,1,0,209.8,42.2,60,229.9,46.6,59,227.6,268.7,118,304.4,329.9,125
2,5,1,0,226.8,128.7,105,211.1,62.1,102,262.2,89.3,104,298.4,114.3,107
1,3,1,0,278,49.6,103,201.6,89.4,122,392.5,101.4,156,518,279,200
1,4,1,0,215,45,80,178,52,100,323,101,130,461,140,130
1,3,1,0,265,133,82,247,210,94,557,471,115,684,1010,108
1,4,4,0,218,94,150,174,53,150,286,93,150,362,102,150
1,1,2,0,200,49,108,159,51,105,356,106,115,438,154,129
1,5,1,0,191.529,39.517,136,167.016,29.211,124,312.428,64.98,147,384.469,78.802,162
2,1,3,0,224.7166667,53.86312643,60,219.4833333,34.46374504,60,330.2090909,80.04159094,110,463.2252252,163.9971261,111
1,5,5,0,202.47,51.37,155,171.4,46.3,155,305.27,95.3,133,348.26,103.5,168
1,2,5,0,215.041322,36.3721,121,193.1304,30.57038,138,458.7154472,144.003388,123,542.209,206.8663328,153
1,3,1,0,230.89,33.16,100,204.74,29.6,100,393.29,115.34,100,474.28,144.46,100
1,1,2,0,195.7419355,44.29990733,124,186.7368421,63.10779592,95,356.2899408,101.3435423,169,449.7603306,133.2090897,121
2,2,1,0,372.44,152,160,237,70,110,338.4,134,165,500.14,207,160
2,4,1,0,228.2,57.19,74,178.61,48.35,75,443.94,121.73,107,581.64,191.88,131
2,3,2,0,218,44,110,177,41.9,110,479,153,110,576,228.5,110
2,1,1,0,290,83,50,236,97,50,407,71,50,583,173,50
2,1,1,0,211.754717,32.67703923,106,208.1363636,30.14152796,66,383.2358491,122.9837811,106,516.6699029,169.5491101,103
1,3,1,0,213.1,50.5,99,192.4,70.1,106,376.4,125.7,100,507,182.9,100
2,1,2,0,219,75,67,224,85,67,370,87,113,541,141,109
1,1,2,0,197,44,65,160,51,98,316,151,109,402,179,145
1,1,1,0,177,72.8,150,164,121,140,501,220,130,732,344,140
2,1,3,0,247.8596491,38.56252094,57,209.0526316,35.3565404,60,411.9553571,109.4723863,112,544.3944954,160.4785286,109
1,3,3,0,192.13,27.03,100,181.57,28.14,100,386.03,110.13,100,471.1,145.91,100
2,4,3,0,177,20,50,142,18,50,148,15,100,175,25,100
1,4,2,0,185.6,43.7,106,155.8,38.2,69,288.5,85.1,106,362.1,113.6,106
1,3,2,0,209.0373134,49.67287117,134,175.2119205,50.21326825,151,371.5,98.35,119,493.98,146.41,139
1,4,1,0,207,43.3,70,183,67.8,70,351,101,115,438,120,115
1,1,1,0,198.9,55.2,108,194.5,40,101,0,0,0,0,0,0
1,3,3,0,184,20.76,100,171.9,33.16,100,0,0,0,0,0,0
1,3,1,0,214,36.5,130,176.6,54.7,130,360,88.3,123,468,139.3,174
